DisorderID,OrphaCode,DisorderName,ExpertLink,TargetDisorderID,TargetOrphaCode,TargetName,RootDisorderID,RootCycle,AssociationTypeID,AssociationTypeName
17620,166108,Birk-Barel syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166108,12469,93890,Rare developmental defect during embryogenesis,17620,true,21485,Preferential parent
17621,166113,Bazex syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166113,11896,89826,Rare skin disease,17621,true,21485,Preferential parent
23,535,Rare cutaneous lupus erythematosus,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=535,11896,89826,Rare skin disease,23,true,21485,Preferential parent
17622,166119,Isolated osteopoikilosis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166119,12333,93419,Rare bone disease,17622,true,21485,Preferential parent
22,487,Krabbe disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=487,10507,68367,Rare inborn errors of metabolism,22,true,21485,Preferential parent
17624,166260,Dentinogenesis imperfecta type 2,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166260,13044,98026,Rare odontologic disease,17624,true,21485,Preferential parent
17625,166265,Dentinogenesis imperfecta type 3,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166265,13044,98026,Rare odontologic disease,17625,true,21485,Preferential parent
24,583,Mucopolysaccharidosis type 6,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=583,10507,68367,Rare inborn errors of metabolism,24,true,21485,Preferential parent
17626,166272,Odontochondrodysplasia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166272,12333,93419,Rare bone disease,17626,true,21485,Preferential parent
27,576,Mucolipidosis type II,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=576,10507,68367,Rare inborn errors of metabolism,27,true,21485,Preferential parent
17627,166277,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166277,12333,93419,Rare bone disease,17627,true,21485,Preferential parent
26,812,Sialidosis type 1,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=812,10507,68367,Rare inborn errors of metabolism,26,true,21485,Preferential parent
17628,166282,Hereditary sick sinus syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166282,12948,97929,Rare cardiac disease,17628,true,21485,Preferential parent
29,578,Mucolipidosis type IV,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=578,10507,68367,Rare inborn errors of metabolism,29,true,21485,Preferential parent
17629,166286,Porokeratotic eccrine ostial and dermal duct nevus,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166286,11896,89826,Rare skin disease,17629,true,21485,Preferential parent
28,577,Mucolipidosis type III,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=577,10507,68367,Rare inborn errors of metabolism,28,true,21485,Preferential parent
17630,166291,Dirofilariasis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166291,10557,68416,Rare infectious disease,17630,true,21485,Preferential parent
17635,166308,Benign infantile focal epilepsy with midline spikes and waves during sleep,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166308,13024,98006,Rare neurologic disease,17635,true,21485,Preferential parent
32,2912,Poliomyelitis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2912,10557,68416,Rare infectious disease,32,true,21485,Preferential parent
38,796,Sandhoff disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=796,10507,68367,Rare inborn errors of metabolism,38,true,21485,Preferential parent
17639,166409,Photosensitive occipital lobe epilepsy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166409,13024,98006,Rare neurologic disease,17639,true,21485,Preferential parent
39,801,Scleroderma,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=801,11896,89826,Rare skin disease,39,true,21485,Preferential parent
17636,166311,Benign partial infantile seizures,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166311,13024,98006,Rare neurologic disease,17636,true,21485,Preferential parent
42,461,Recessive X-linked ichthyosis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=461,11896,89826,Rare skin disease,42,true,21485,Preferential parent
17643,166421,Orgasm-induced seizures,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166421,13024,98006,Rare neurologic disease,17643,true,21485,Preferential parent
17642,166418,Eating reflex epilepsy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166418,13024,98006,Rare neurologic disease,17642,true,21485,Preferential parent
17641,166415,Audiogenic seizures,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166415,13024,98006,Rare neurologic disease,17641,true,21485,Preferential parent
40,584,Mucopolysaccharidosis type 7,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=584,10507,68367,Rare inborn errors of metabolism,40,true,21485,Preferential parent
17640,166412,Hot water reflex epilepsy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166412,13024,98006,Rare neurologic disease,17640,true,21485,Preferential parent
17647,166433,Epilepsy with reading-induced seizures,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166433,13024,98006,Rare neurologic disease,17647,true,21485,Preferential parent
17646,166430,Micturation-induced seizures,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166430,13024,98006,Rare neurologic disease,17646,true,21485,Preferential parent
44,881,Turner syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=881,12469,93890,Rare developmental defect during embryogenesis,44,true,21485,Preferential parent
17645,166427,Startle epilepsy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166427,13024,98006,Rare neurologic disease,17645,true,21485,Preferential parent
17644,166424,Thinking seizures,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166424,13024,98006,Rare neurologic disease,17644,true,21485,Preferential parent
45,95,Friedreich ataxia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=95,13024,98006,Rare neurologic disease,45,true,21485,Preferential parent
17650,166466,Neurocutaneous syndrome with epilepsy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166466,13024,98006,Rare neurologic disease,17650,true,21485,Preferential parent
51,848,Beta-thalassemia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=848,13010,97992,Rare hematologic disease,51,true,21485,Preferential parent
17651,166469,Chromosomal anomaly with epilepsy as a major feature,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166469,13024,98006,Rare neurologic disease,17651,true,21485,Preferential parent
50,846,Alpha-thalassemia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=846,13010,97992,Rare hematologic disease,50,true,21485,Preferential parent
49,586,Cystic fibrosis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=586,12974,97955,Rare respiratory disease,49,true,21485,Preferential parent
17649,166463,Epilepsy syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166463,13024,98006,Rare neurologic disease,17649,true,21485,Preferential parent
17654,166478,Cerebral malformation with epilepsy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166478,13024,98006,Rare neurologic disease,17654,true,21485,Preferential parent
55,262,Duchenne and Becker muscular dystrophy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=262,13024,98006,Rare neurologic disease,55,true,21485,Preferential parent
17655,166481,Metabolic diseases with epilepsy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166481,13024,98006,Rare neurologic disease,17655,true,21485,Preferential parent
17652,166472,Monogenic disease with epilepsy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166472,13024,98006,Rare neurologic disease,17652,true,21485,Preferential parent
17653,166475,Idiopathic or cryptogenic familial epilepsy syndrome with identified loci/genes,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166475,13024,98006,Rare neurologic disease,17653,true,21485,Preferential parent
59,261,Emery-Dreifuss muscular dystrophy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=261,13024,98006,Rare neurologic disease,59,true,21485,Preferential parent
17658,166490,Infectious disease with epilepsy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166490,13024,98006,Rare neurologic disease,17658,true,21485,Preferential parent
17656,166484,Inflammatory and autoimmune disease with epilepsy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166484,13024,98006,Rare neurologic disease,17656,true,21485,Preferential parent
17657,166487,Cerebral diseases of vascular origin with epilepsy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166487,13024,98006,Rare neurologic disease,17657,true,21485,Preferential parent
63,550,MELAS,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=550,13024,98006,Rare neurologic disease,63,true,21485,Preferential parent
62,269,Facioscapulohumeral dystrophy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=269,13024,98006,Rare neurologic disease,62,true,21485,Preferential parent
