DisorderID,OrphaCode,ExpertLink,DisorderName,DisorderType,DisorderGroup,AgeOfOnsetIDs,AgeOfOnsetNames,InheritanceTypeIDs,InheritanceTypeNames
17617,166096,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166096,Von Willebrand disease type 3,Clinical subtype,Subtype of disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
16,367,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=367,Glycogen storage disease due to glycogen branching enzyme deficiency,Disease,Disorder,23557,All ages,23417,Autosomal recessive
17618,166100,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166100,Autosomal dominant otospondylomegaepiphyseal dysplasia,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23410,Autosomal dominant
19,371,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=371,Glycogen storage disease due to muscle phosphofructokinase deficiency,Disease,Disorder,23536|23543|23529|23522,Adolescent|Adult|Childhood|Infancy,23417,Autosomal recessive
17619,166105,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166105,FASTKD2-related infantile mitochondrial encephalomyopathy,Disease,Disorder,23536|23522|23515,Adolescent|Infancy|Neonatal,23417,Autosomal recessive
18,369,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,Disease,Disorder,23529,Childhood,23417,Autosomal recessive
21,447,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=447,Paroxysmal nocturnal hemoglobinuria,Disease,Disorder,23557,All ages,23494,Not applicable
17620,166108,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166108,Birk-Barel syndrome,Disease,Disorder,23522,Infancy,23410,Autosomal dominant
17621,166113,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166113,Bazex syndrome,Disease,Disorder,23543,Adult,23494,Not applicable
23,535,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=535,Rare cutaneous lupus erythematosus,Clinical group,Group of disorders,23557,All ages,23424,Multigenic/multifactorial
17622,166119,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166119,Isolated osteopoikilosis,Disease,Disorder,23536|23543|23529,Adolescent|Adult|Childhood,23410,Autosomal dominant
22,487,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=487,Krabbe disease,Disease,Disorder,23536|23543|23529|23522|23515,Adolescent|Adult|Childhood|Infancy|Neonatal,23417,Autosomal recessive
17624,166260,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166260,Dentinogenesis imperfecta type 2,Clinical subtype,Subtype of disorder,23529,Childhood,23410,Autosomal dominant
17625,166265,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166265,Dentinogenesis imperfecta type 3,Clinical subtype,Subtype of disorder,23529,Childhood,23410,Autosomal dominant
24,583,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=583,Mucopolysaccharidosis type 6,Disease,Disorder,23529,Childhood,23417,Autosomal recessive
17626,166272,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166272,Odontochondrodysplasia,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,23417,Autosomal recessive
27,576,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=576,Mucolipidosis type II,Disease,Disorder,23508|23515,Antenatal|Neonatal,23417,Autosomal recessive
17627,166277,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166277,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,Malformation syndrome,Disorder,23529,Childhood,23480,Unknown
26,812,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=812,Sialidosis type 1,Disease,Disorder,23536|23529,Adolescent|Childhood,23417,Autosomal recessive
