,VEC_DIM,PMD,CMBZ,GS,DIST_A,DIST_B,DIST_C,CONFIG_TIME,COMPUTE_TIME
0,10.0,13.0,"[60, 30, 60]",20.0,0.004954104793802581,0.0030798216558226895,1.9305897155907386,0.2038428783416748,0.01821756362915039
1,10.0,13.0,"[60, 30, 60]",30.0,1.5122990755266557e-06,2.942511178346778e-06,0.0003054890578196404,0.19472050666809082,0.01657581329345703
2,10.0,13.0,"[60, 30, 60]",40.0,2.2858377454152027e-09,1.6328089211971533e-09,1023.046874882385,0.1841738224029541,0.015890836715698242
3,10.0,13.0,"[60, 40, 60]",20.0,0.0027635894409485215,0.00129251781105366,2.0002708158908056,0.1823291778564453,0.01680135726928711
4,10.0,13.0,"[60, 40, 60]",30.0,3.178212308195328e-06,2.4446472622507188e-06,0.9993829709960456,0.1875321865081787,0.016543865203857422
5,10.0,13.0,"[60, 40, 60]",40.0,2.194656334861483e-09,1.4689984310594608e-09,8.38994269803501e-07,0.19301128387451172,0.017734766006469727
6,10.0,14.0,"[60, 30, 60]",20.0,0.00415105247496688,0.006193945020636168,2.86538785391401,0.4191315174102783,0.03744387626647949
7,10.0,14.0,"[60, 30, 60]",30.0,4.0245123275775855e-06,6.731203986997017e-06,0.0025917420007658134,0.46676135063171387,0.04560661315917969
8,10.0,14.0,"[60, 30, 60]",40.0,5.192769217140183e-09,5.575257933567461e-09,1023.093753140466,0.42005491256713867,0.03989887237548828
9,10.0,14.0,"[60, 40, 60]",20.0,0.004640507270287226,0.0031479649487981096,4.368046694542106,0.4084019660949707,0.037912607192993164
10,10.0,14.0,"[60, 40, 60]",30.0,5.27851833042823e-06,4.014866209899972e-06,1.0012067064024295,0.4084913730621338,0.040245771408081055
11,10.0,14.0,"[60, 40, 60]",40.0,4.283180607645723e-09,2.7926479416516127e-09,2.798406693929999e-06,0.38962316513061523,0.031871795654296875
12,10.0,15.0,"[60, 30, 60]",20.0,0.010182978411087392,0.008154274861056804,0.5294269010590812,0.8943145275115967,0.07848787307739258
13,10.0,15.0,"[60, 30, 60]",30.0,1.899989190495889e-05,7.240809860311586e-06,0.0011191001073908187,0.8437902927398682,0.07226395606994629
14,10.0,15.0,"[60, 30, 60]",40.0,1.3565231930182261e-08,8.705592670615527e-09,1023.2500565065976,0.81386399269104,0.0789940357208252
15,10.0,15.0,"[60, 40, 60]",20.0,0.008892578029669742,0.008270020787130796,0.7645848056794218,0.8287029266357422,0.07346057891845703
